Protein accession,Gene name,FY_1,FY_2,FY_3,FY_4,MY_1,MY_2,MY_3,MY_4,FV_1,FV_2,FV_3,FV_4,MV_1,MV_2,MV_3,MV_4,FWT_1,FWT_2,FWT_3,FWT_4,MWT_1,MWT_2,MWT_3,MWT_4,FGES_1,FGES_2,FGES_3,FGES_4,MGES_1,MGES_2,MGES_3,MGES_4
A0A2K5VN26,BCR,0.322663933,0.382934484,0.315197936,0.358709697,1.060855228,1.01674299,0.974329072,0.980554412,1.576047578,1.534526934,1.568471301,1.491258341,0.957621562,1.073862825,0.992382006,1.013864666,1.330094277,1.27432538,1.212480021,1.175172095,1.003536888,1.008047365,0.980184972,0.961867365,0.970000559,1.017470842,1.032402834,1.063678412,0.764520237,0.806801818,0.878787477,0.900606493
A0A2K5VPG2,BCL2L1,,1.379543657,,0.975704423,,0.612110437,,0.686082583,,1.264559743,,,1.044679558,1.030191737,0.64617086,1.621336964,0.744145042,0.670611744,0.834606154,0.962521443,1.102297318,1.508652611,0.733741429,,1.047722235,1.13532206,,,,,,
A0A2K5VRE6,PTN,,,,,,0.449871601,,,2.173793328,0.568689335,,2.252328599,,0.399896255,,0.813909619,,,,,,,0.688677211,,0.435100058,,1.325165456,,0.730470605,,1.095654639,1.066443294
A0A2K5VTL2,PIK3R1,0.559754534,0.571963432,0.556011757,0.451450009,1.229066725,1.285441053,1.46287061,1.343311163,1.278766546,1.096111727,1.251307328,1.259760154,0.997872147,0.947949622,1.025507535,1.026195594,1.008372531,1.079272556,1.052896949,1.018510603,1.158642026,0.916847346,1.24088672,1.231563018,0.941620806,1.037889278,0.998201219,1.072285596,0.705004852,0.690066985,0.780116332,0.724483247
A0A2K5VV75,CLU,1.262388449,1.344373174,1.269609286,1.193220957,1.587127992,1.581591027,1.58692989,1.567822902,0.995375978,0.99398926,0.952647247,0.90449645,0.860331476,0.865364271,0.859975882,0.855130295,0.761768543,0.752328958,0.761416911,0.761515962,0.732101701,0.780293109,0.751067045,0.750238977,0.857037031,0.903972469,0.851136548,0.841541453,0.926326357,0.990898861,0.945538338,0.952443201
A0A2K5VVN8,MYD88,0.176006541,,0.270351247,0.218512656,1.522458111,1.835453097,1.536792475,1.734191992,1.038606801,1.202149143,1.081739873,1.081424865,1.050259015,1.217501929,1.07986512,1.041932729,1.066576703,1.180341765,0.851145308,0.971230396,1.191122357,1.412277405,1.125270526,1.000299765,1.156855366,1.126461743,1.027924076,0.955770569,0.336768867,0.616558101,0.424818012,0.469333446
A0A2K5VW43,ANGPT1,0.842080965,0.747312449,0.903883445,0.995214858,0.63317687,1.129353951,0.828461977,0.990460821,0.884364274,0.682534527,0.899457641,0.7327608,0.73291691,0.907368582,0.613992603,0.87576351,0.798177842,0.605299774,0.545423993,0.652350462,1.633451314,1.198469615,1.347061621,1.300156369,1.856542801,1.705368964,1.451335543,1.255368618,0.809476518,1.260509596,1.054671674,1.127231113
A0A2K5VXY8,MAPK3,0.48673056,0.234227163,,0.640106193,0.617962875,0.629641775,0.676152371,0.605178207,0.558453291,0.770940928,0.764977235,0.785971299,1.192412531,0.901632783,1.096748057,1.673586296,0.464888534,0.591713306,0.658798644,,0.470873969,,0.431979507,,1.893481958,1.656378556,1.815130831,1.581441022,1.283271885,1.873606087,1.70778435,1.935929788
A0A2K5VY13,PARK7,0.641981628,0.640895179,0.613820695,0.65642044,1.323016065,1.472726871,1.294763834,1.394735374,1.058657531,1.091584231,0.957389556,0.982701985,1.151845615,1.076615889,1.103274967,1.086215896,1.05054112,1.20003281,1.049116868,1.050007026,1.05768064,0.933633762,0.920769844,1.041406734,1.003303426,0.900341869,0.985189861,1.029816426,0.810833103,0.853775217,0.776377159,0.790528381
A0A2K5VZB4,DDB1,1.006007136,0.928996958,1.004789641,0.93401488,1.689577051,0.856298943,1.34496542,1.259408527,1.041057401,1.227115814,0.840798926,0.963118339,1.086381188,0.948969207,0.904814409,0.997293075,0.718928192,0.637584025,0.983733289,0.844167652,1.051750497,0.909550997,1.133140745,0.864661337,1.00772424,0.795974749,0.782206388,1.64804884,1.254548249,0.801145464,0.798016842,0.735211578
A0A2K5VZL5,VPS4B,0.386956861,0.390227448,0.422959224,0.388705492,1.220442761,1.220937127,1.233408534,1.270369406,1.164497373,1.129531235,1.159182399,1.073344061,1.160406441,1.186769747,1.153513382,1.064456268,0.939167958,1.000760776,0.964169059,0.949435227,0.865483683,0.94168944,1.017159046,0.892704034,1.276001724,1.296344127,1.25165474,1.249232562,0.817787082,0.951509837,0.987734557,0.97345839
